biosample	has_assembly	assembly_accessions
SAMN02471545	YES	GCF_000307715.1
SAMN02471557	YES	GCF_000452485.1
SAMN02471565	YES	GCF_000452505.1
SAMN03103695	YES	GCF_001305955.1
SAMN03267840	YES	GCF_000834695.1
SAMN03976266	YES	GCF_001401215.1
SAMN03976365	YES	GCF_003702045.1
SAMN03976423	YES	GCF_003700305.1
SAMN03976434	YES	GCF_003700335.1
SAMN04092610	YES	GCF_002723575.1
SAMN04102826	YES	GCF_001466975.1
SAMN04102828	YES	GCF_001642795.1
SAMN04317010	YES	GCF_002158995.1
SAMN05413107	YES	GCF_001716855.1
SAMEA104090973	YES	GCF_900184295.1
SAMN07664227	YES	GCF_002406485.1
SAMN09062491	YES	GCF_005233675.1
SAMN09064882	YES	GCF_005233555.1
SAMEA104471793	YES	GCF_900580565.1
SAMEA104471794	YES	GCF_900580595.1
SAMEA104471795	YES	GCF_900580575.1
SAMEA104471796	YES	GCF_900580625.1
SAMEA104471797	YES	GCF_900580615.1
SAMEA104471798	YES	GCF_900580585.1
SAMEA104471799	YES	GCF_900580645.1
SAMEA104471800	YES	GCF_900580695.1
SAMEA104471801	YES	GCF_900580675.1
SAMEA104471802	YES	GCF_900580685.1
SAMEA104471803	YES	GCF_900580715.1
SAMEA104471804	YES	GCF_900580635.1
SAMEA104471805	YES	GCF_900580665.1
SAMEA104471806	YES	GCF_900580655.1
SAMEA104471807	YES	GCF_900580705.1
SAMEA104471808	YES	GCF_900580725.1
SAMEA104471809	YES	GCF_900580765.1
SAMEA104471810	YES	GCF_900580775.1
SAMEA104471811	YES	GCF_900580785.1
SAMEA104471812	YES	GCF_900580735.1
SAMEA104471813	YES	GCF_900580745.1
SAMEA104471814	YES	GCF_900580755.1
SAMEA104471815	YES	GCF_900580805.1
SAMEA104471816	YES	GCF_900580845.1
SAMEA104471817	YES	GCF_900580855.1
SAMEA104471818	YES	GCF_900580835.1
SAMEA104471819	YES	GCF_900580815.1
SAMEA104471820	YES	GCF_900580825.1
SAMEA104471821	YES	GCF_900580795.1
SAMEA104471822	YES	GCF_900580875.1
SAMEA104471823	YES	GCF_900580865.1
SAMEA104471824	YES	GCF_900580885.1
SAMEA104471825	YES	GCF_900580905.1
SAMEA104471826	YES	GCF_900580895.1
SAMEA104471827	YES	GCA_900580915.1
SAMEA104471828	YES	GCF_900580925.1
SAMEA104471829	YES	GCF_900580945.1
SAMEA104471830	YES	GCF_900580955.1
SAMEA104471831	YES	GCF_900580935.1
SAMEA104471832	YES	GCF_900581035.1
SAMEA104471833	YES	GCF_900580995.1
SAMEA104471834	YES	GCF_900580965.1
SAMEA104471835	YES	GCF_900581005.1
SAMEA104471836	YES	GCF_900580985.1
SAMEA104471837	YES	GCF_900581015.1
SAMEA104471838	YES	GCF_900581025.1
SAMEA104471839	YES	GCF_900581045.1
