biosample	biosample_id	organism	taxid	title	16S_recovered	16S_recovery_software	Alias	ArrayExpress-SPECIES	Assembly_Method	Assembly_Name	Assembly_method	BioProject_for_reads	Collection_date	Coverage	Description	Diseases	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA_checklist	ENA_first_public	ENA_last_update	Env_broad_scale	Env_local_scale	Env_medium	Experiment	External_Id	Familia	GAL	GAL_sample_id	GCM-tag	GOLD_Stamp_ID	GUNC_clade_separation_score	GUNC_contamination_score	GUNC_reference_representation_score	GUNC_version	Genero	Genome_Coverage	Geo_loc_name	Gram_Staining	Host	ICMP	ICMP_number	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Isolate_code	Isolate_name	Isolation_Site	MAG_coverage_software	MLST	Mutations	Other_CC	Path_cotyledon	Path_leaves	Pathover	Phylogroup	Replicate	S.-M._Yu	SPIRE_genome_cluster	SPIRE_genome_id	SRA_accession	SRA_experiment_accession	SRA_run_accession	STRAIN	Sample_Name	Sequencing_Method	Sequencing_Technology	Strain	Submitter	Submitter_Id	Tax_ID	Temperature_Range	Title	Type_Strain	Version	Y._H._Lee	abs_air_humidity	age	agent	agrochem_addition	air_temp	air_temp_regm	alias	altitude	ances_data	anonymized_name	antibiotic_regm	antibody	antibody_catalog_number	antibody_lot_batch_number	antibody_manufacturer	antibody_name	assayed_host	assembly	assembly_method	assembly_method_and_version	assembly_method_version	assembly_quality	assembly_software	attr_scientific_name	barcoding_center	batch	binning_parameters	binning_software	biol_rep	biol_stat	biological_replicate	biomaterial_provider	biome	biotic_regm	biotic_relationship	biovar	broad-scale_environmental_context	broker_name	build_occup_type	building_setting	carb_dioxide	cell_line	cell_type	chem_administration	chem_mutagen	chip_antibody	climate_environment	code_in_sequence_reads	codigo	coll_site_geo_feat	collected-by	collected_by	collecting_institution	collection	collection-date	collection_date	collection_method	collection_room	comment	common_name	completeness_estimated	completeness_score	completeness_software	condition	contamination_estimated	contamination_score	contig_N50	country	cult_root_med	cultivar	culture-collection	culture_collection	culture_supplement	d	depth	derived-from	derived-from-SRA	derived_from	derived_from_assembly	dev_stage	disease	ecotype	elev	elevation	encoded_traits	env_biome	env_broad_scale	env_feature	env_local_scale	env_material	env_medium	env_package	environment	environment__biome_	environment__feature_	environment__material_	environmental-sample	environmental_medium	environmental_sample	erfa_origin	estimated_size	experimental_factor	extrachrom_elements	feature	fertilizer_regm	filter_type	finishing_strategy	food_origin	food_product_type	food_source	fungicide_regm	gaseous_environment	gcm_tag	genetic_mod	genome_coverage	genotype	genotype_variation	geo_loc_name	geographic_location	geographic_location__country_and_or_sea_	geographic_location__latitude_	geographic_location__longitude_	geographic_location__region_and_locality_	gravity	growth_condition	growth_facil	growth_habit	growth_hormone_regm	growth_med	growth_phase	growth_protocol	growth_source	habitat	health_state	heat_cool_type	herbicide_regm	history	host	host_age	host_body_site	host_common_name	host_dependence	host_description	host_disease	host_disease_outcome	host_disease_stage	host_dry_mass	host_genotype	host_health_state	host_height	host_length	host_life_stage	host_phenotype	host_plant_tissue	host_plant_treatment	host_scientific_name	host_sex	host_spec_range	host_status	host_subject_id	host_subspecf_genlin	host_symbiont	host_taxid	host_tissue_sampled	host_tot_mass	host_wet_mass	hours_post_infection	humidity_regm	identification_method	identified_by	identifier_affiliation	ifsac_category	incubation_time	individual_name	indoor_space	infection_stage	internal_collection_code	investigation_type	is_reference	isol_growth_condt	isolate	isolate-name-alias	isolate_name_alias	isolation-source	isolation_source	lab_host	lat-lon	lat_lon	light_regm	light_type	link	linked_to_SPIRE_sample	linked_to_SPIRE_study	linked_to_analysis_project	local_environmental_context	location	locus_tag_prefix	logrec	mapping_method	mapping_method_and_version	mapping_method_version	material	mating_type	mechanical_damage	media	medium	medium1	medium1_URL	metagenome-source	metagenome_source	metagenomic	metagenomic_source	microbial_biomass	microbial_biomass_meth	mineral_nutr_regm	misc_param	municipio	nat-host	nat_host	neg_cont_type	non_mineral_nutr_regm	not_collected	note	note2	num_replicons	number_of_contigs	number_of_standard_tRNAs_extracted	occup_samp	occupant_dens_samp	omics_observ_id	optical_density_measurement	organism_count	organism_part	origin	oxy_stat_samp	partner_strain	passage	passage_history	pathogenicity	pathovar	perturbation	pesticide_regm	ph_regm	phage	phenotype	plant-associated_environmental_package	plant_body_site	plant_growth_med	plant_product	plant_sex	plant_struc	plasmid	pm	pmlimpio	population	pos_cont_type	previous_land_use	project_name	propagation	purpose_of_sampling	quality_assessment_method	quality_assessment_method_and_version	quality_assessment_method_version	radiation_regm	rainfall_regm	rec	receipt_date	ref_biomaterial	rehydration_fluid_URL	rehydration_fluid_no	rel_air_humidity	rel_to_oxygen	relative_week	replicate	repository	root_cond	root_med_carbon	root_med_macronutr	root_med_micronutr	root_med_ph	root_med_regl	root_med_solid	root_med_suppl	s	salt_regm	samp_capt_status	samp_collect_device	samp_dis_stage	samp_mat_process	samp_mat_type	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	sample-type	sample_code	sample_collection_device_or_method	sample_comment	sample_derived_from	sample_group	sample_has_part	sample_name	sample_number	sample_type	scientific_name	season_environment	seq_primer	sequenced_by	sequencing_id	sequencing_meth	sequencing_method	serotype	serovar	sieving	soil_horizon	soil_type	soil_type_meth	source_area	source_material_id	source_material_identifier	source_name	source_type	space_typ_state	species	specific_host	specimen_id	specimen_voucher	standing_water_regm	stimulus	store_cond	strain	strain_genotype	strain_name_alias	subgroup	subject_id	submitted-organism-name	subsource_note	subspecf_gen_lin	subsrc_note	subtype	supplier_name	symbiotic_host_organism_life_cycle_type	t	tRNA_extraction_software	taxonomic_classification	taxonomic_classification_software	taxonomic_identity_marker	technology	temp	temperature	temperature_to	time	time_of_collection	time_point	time_post_infection	tiss_cult_growth_med	tissue	tissue_sample_type	tmp	tolid	transformed_with	treatment	typ_occupant_dens	type-material	type_status	v_type	validity	value	vector	ventilation_type	voucher_institution_url	wastewater_type	water_temp_regm	watering_regm	well
SAMN00002867	2867			Generic sample from Pseudomonas syringae pv. aesculi str. NCPPB 3681																																																																																																																																																		NCPPB:3681																																																																																																																																																																									aesculi																																																																																													NCPPB 3681																																												
SAMN00002873	2873			Generic sample from Pseudomonas syringae pv. syringae FF5																																																																																																																																																																																																																																																																																																																											syringae																																																																																													FF5																																												
SAMN00002874	2874			Generic sample from Pseudomonas syringae pv. aesculi																																																																																																																																																																																																																																																																																																																											aesculi																																																																																																																																									
SAMN00002875	2875			Generic sample from Pseudomonas syringae pv. aesculi																																																																																																																																																																																																																																																																																																																											aesculi																																																																																																																																									
SAMN00002878	2878			Generic sample from Pseudomonas syringae pv. tabaci ATCC 11528																																																																																																																																																		ATCC:11528																																																																																																																																																																									tabaci																																																																																													ATCC 11528																																												
SAMEA882553	26234	Pseudomonas syringae pv. syringae B728a		Sample from Pseudomonas syringae pv. syringae B728a																							SAMEA882553																		JIC	2010-02-26T10:44:13Z	2018-03-09T09:51:49Z	public																									PssB728a_July_2008																																																																																																																																																																																																																																																						syringae																																																																PssB728a_July_2008			Pseudomonas syringae pv. syringae B728a																										B728a																																												
SAMN00184069	184069			Pseudomonas brassicacearum Cd-Express Library																																																																																																																																																																																																																																																																																																																																																																																																																								NFM421																																												
SAMN00184073	184073			Pseudomonas savastanoi pv. savastanoi ITM317																																																																																																																																																																																																																																																																																																																																																																																																																								ITM317																																												
SAMN00184074	184074			Pseudomonas savastanoi pv. nerii ITM204																																																																																																																																																																																																																																																																																																																																																																																																																								ITM204																																												
SAMN00184075	184075			Pseudomonas savastanoi pv. fraxini NCPPB2716																																																																																																																																																																																																																																																																																																																																																																																																																								NCPPB2716																																												
SAMN00187829	187829			Pseudomonas syringae strain NPS3121 genomic library																																																																																																																																																																																																																																																																																																																																																																																																																								NPS3121																																			plasmid			pUC19						
SAMN00752553	752553			Psa CH2010-6																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
SAMN00752554	752554			P. s. pv. theae NCPPB2598																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
SAMN00752555	752555			P. s. pv. actinidiae CFBP7286																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
SAMN00752556	752556			P. s. pv. actinidiae KW41																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
SAMN00752557	752557			P. s. pv. actinidiae PA459																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
SAMN00752558	752558			P. syringae pv. actinidiae CH2010-5 (PsaV)																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
SAMN00993368	993368			Pseudomonas tolaasii NCPPB 2192																																																																																																																																																																																																																																																																																																																																																																																																																								NCPPB 2192																																												
SAMN01797595	1797595			he critical role of environmental reservoirs in emergence and evolution of Pseudomonas syringae crop pathogens																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
SAMN02009267	2009267	Pseudomonas asplenii		General Sample for Pseudomonas fuscovaginae																																																																																																																																																												brown sheath blight																																					Philippines																																																													0		SE-1				IRRI rice																																																																																																																																														Oryza sativa						SE-1																																												
SAMN02144249	2144249			PtoDC3000(pBAD::EV)_1																																																																																																																																																																																																																																																																																																																											tomato												pBAD::EV																																																																							bacterial culture										DC3000																																												
SAMN02144250	2144250			PtoDC3000(pBAD::hrpL)_1																																																																																																																																																																																																																																																																																																																											tomato												pBAD::hrpLPtoDC3000																																																																							bacterial culture										DC3000																																												
SAMN02144251	2144251			PtoDC3000(pBAD::EV)_2																																																																																																																																																																																																																																																																																																																											tomato												pBAD::EV																																																																							bacterial culture										DC3000																																												
SAMN02144252	2144252			PtoDC3000(pBAD::hrpL)_2																																																																																																																																																																																																																																																																																																																											tomato												pBAD::hrpLPtoDC3000																																																																							bacterial culture										DC3000																																												
SAMN02144253	2144253			Pph1448A(pBAD::EV)_1																																																																																																																																																																																																																																																																																																																											phaseolicala												pBAD::EV																																																																							bacterial culture										1448A																																												
SAMN02144254	2144254			Pph1448A(pBAD::hrpL)_1																																																																																																																																																																																																																																																																																																																											phaseolicala												pBAD::hrpLPph1448A																																																																							bacterial culture										1448A																																												
SAMN02144255	2144255			Pph1448A(pBAD::EV)_2																																																																																																																																																																																																																																																																																																																											phaseolicala												pBAD::EV																																																																							bacterial culture										1448A																																												
SAMN02144256	2144256			Pph1448A(pBAD::hrpL)_2																																																																																																																																																																																																																																																																																																																											phaseolicala												pBAD::hrpLPph1448A																																																																							bacterial culture										1448A																																												
SAMN02144257	2144257			PsyB728a(pBAD::EV)_1																																																																																																																																																																																																																																																																																																																											syringae												pBAD::EV																																																																							bacterial culture										B728a																																												
SAMN02144258	2144258			PsyB728a(pBAD::hrpL)_1																																																																																																																																																																																																																																																																																																																											syringae												pBAD::hrpLPsyB728a																																																																							bacterial culture										B728a																																												
SAMN02144259	2144259			PsyB728a(pBAD::EV)_2																																																																																																																																																																																																																																																																																																																											syringae												pBAD::EV																																																																							bacterial culture										B728a																																												
SAMN02144260	2144260			PsyB728a(pBAD::hrpL)_2																																																																																																																																																																																																																																																																																																																											syringae												pBAD::hrpLPsyB728a																																																																							bacterial culture										B728a																																												
SAMN02144261	2144261			Pla107(pBAD::EV)_1																																																																																																																																																																																																																																																																																																																											lachrymans												pBAD::EV																																																																							bacterial culture										MAFF301315																																												
SAMN02144262	2144262			Pla107(pBAD::hrpL)_1																																																																																																																																																																																																																																																																																																																											lachrymans												pBAD::hrpLPla107																																																																							bacterial culture										MAFF301315																																												
SAMN02144263	2144263			Pla107(pBAD::EV)_2																																																																																																																																																																																																																																																																																																																											lachrymans												pBAD::EV																																																																							bacterial culture										MAFF301315																																												
SAMN02144264	2144264			Pla107(pBAD::hrpL)_2																																																																																																																																																																																																																																																																																																																											lachrymans												pBAD::hrpLPla107																																																																							bacterial culture										MAFF301315																																												
SAMN02144265	2144265			Pjap(pBAD::EV)_1																																																																																																																																																																																																																																																																																																																											japonica												pBAD::EV																																																																							bacterial culture										MAFF301072 PT																																												
