Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Pathovar	Race	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Species	Contig Number	No. N's	Barcode
PSE_AA0018AA	Cuneo #6_18	SRR24072256;ILLUMINA;Paired;;SRX19873389;SRA	Environment	Plant	plant biome; bean	2018				Europe	Italy							KU Leuven	Pseudomonas savastanoi				PRJNA952184	SRP430968	SAMN34068137	SRS17251370	2023-05-14	2023-04-06	PSE_AA0018AA	Assembled	88.8	5.1	81540	6057202	Pseudomonas savastanoi;93.59%	203	3112	PSE_AA0001AA_AS
PSE_AA0019AA	Pph #13	SRR24072257;ILLUMINA;Paired;;SRX19873388;SRA	Environment	Plant	plant biome; bean	2015				Asia	China							KU Leuven	Pseudomonas savastanoi				PRJNA952184	SRP430968	SAMN34068136	SRS17251369	2023-05-14	2023-04-06	PSE_AA0019AA	Assembled	90.8	5.1	82780	5946616	Pseudomonas savastanoi;98.58%	198	2071	PSE_AA0002AA_AS
PSE_AA0020AA	B48	SRR24496307;ILLUMINA;Paired;;SRX20281260;SRA,SRR24496306;OXFORD_NANOPORE;Single;;SRX20281261;SRA	Environment	Plant	Prunus persica	1972				North America	United States	South Carolina						University of Arizona	Pseudomonas syringae				PRJNA971231	SRP436920	SAMN35027177	SRS17608284	2023-05-14	2023-05-10	PSE_AA0020AA	Assembled	152.1	5.1	213592	6066273	Pseudomonas syringae;100.0%	72	985	PSE_AA0003AA_AS
PSE_AA0021AA	DC3000	SRR24258079;ILLUMINA;Paired;;SRX20053978;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299713	SRS17392125	2023-05-14	2023-04-21	PSE_AA0021AA	Assembled	111.7	5.1	82329	6304859	Pseudomonas syringae group genomosp. 3;100.0%	213	1666	PSE_AA0004AA_AS
PSE_AA0022AA	DC3000	SRR24258080;ILLUMINA;Paired;;SRX20053977;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299712	SRS17392126	2023-05-14	2023-04-21	PSE_AA0022AA	Assembled	118.3	5.1	75596	6314849	Pseudomonas syringae group genomosp. 3;99.84%	219	1574	PSE_AA1117AA_AS
PSE_AA0023AA	DC3000	SRR24258081;ILLUMINA;Paired;;SRX20053976;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299711	SRS17392124	2023-05-14	2023-04-21	PSE_AA0023AA	Assembled	127.7	5.1	77225	6306227	Pseudomonas syringae group genomosp. 3;100.0%	223	2046	PSE_AA1118AA_AS
PSE_AA0024AA	DC3000	SRR24258082;ILLUMINA;Paired;;SRX20053975;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299710	SRS17392123	2023-05-14	2023-04-21	PSE_AA0024AA	Assembled	127.8	5.1	69805	6305793	Pseudomonas syringae group genomosp. 3;100.0%	223	2052	PSE_AA1119AA_AS
PSE_AA0025AA	DC3000	SRR24258083;ILLUMINA;Paired;;SRX20053974;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299709	SRS17392121	2023-05-14	2023-04-21	PSE_AA0025AA	Assembled	119.8	5.1	69260	6307496	Pseudomonas syringae group genomosp. 3;100.0%	226	2179	PSE_AA1120AA_AS
PSE_AA0026AA	DC3000	SRR24258084;ILLUMINA;Paired;;SRX20053973;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299708	SRS17392122	2023-05-14	2023-04-21	PSE_AA0026AA	Assembled	124.8	5.1	69824	6304788	Pseudomonas syringae group genomosp. 3;100.0%	219	1938	PSE_AA1121AA_AS
PSE_AA0027AA	DC3000	SRR24258085;ILLUMINA;Paired;;SRX20053972;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299707	SRS17392120	2023-05-14	2023-04-21	PSE_AA0027AA	Assembled	120.9	5.1	75592	6305604	Pseudomonas syringae group genomosp. 3;100.0%	219	1682	PSE_AA1122AA_AS
